line: 48   index: 15   original: (   mutated: (!
line: 50   index: 30   original: =   mutated: ==
line: 50   index: 30   original: =   mutated: !=
line: 50   index: 30   original: =   mutated: <
line: 50   index: 30   original: =   mutated: >
line: 50   index: 30   original: =   mutated: <=
line: 50   index: 30   original: =   mutated: >=
line: 50   index: 30   original: =   mutated: = 0 *
line: 50   index: 30   original: =   mutated: = 0 ;//
line: 50   index: 30   original: =   mutated: = NULL; //
line: 50   index: 30   original: =   mutated: = !
line: 50   index: 26   original: [   mutated: [ -1 +
line: 50   index: 26   original: [   mutated: [ 1 +
line: 50   index: 26   original: [   mutated: [ 0 *
line: 51   index: 30   original: =   mutated: ==
line: 51   index: 30   original: =   mutated: !=
line: 51   index: 30   original: =   mutated: <
line: 51   index: 30   original: =   mutated: >
line: 51   index: 30   original: =   mutated: <=
line: 51   index: 30   original: =   mutated: >=
line: 51   index: 30   original: =   mutated: = 0 *
line: 51   index: 30   original: =   mutated: = 0 ;//
line: 51   index: 30   original: =   mutated: = NULL; //
line: 51   index: 30   original: =   mutated: = !
line: 51   index: 26   original: [   mutated: [ -1 +
line: 51   index: 26   original: [   mutated: [ 1 +
line: 51   index: 26   original: [   mutated: [ 0 *
line: 52   index: 30   original: =   mutated: ==
line: 52   index: 30   original: =   mutated: !=
line: 52   index: 30   original: =   mutated: <
line: 52   index: 30   original: =   mutated: >
line: 52   index: 30   original: =   mutated: <=
line: 52   index: 30   original: =   mutated: >=
line: 52   index: 30   original: =   mutated: = 0 *
line: 52   index: 30   original: =   mutated: = 0 ;//
line: 52   index: 30   original: =   mutated: = NULL; //
line: 52   index: 30   original: =   mutated: = !
line: 52   index: 26   original: [   mutated: [ -1 +
line: 52   index: 26   original: [   mutated: [ 1 +
line: 52   index: 26   original: [   mutated: [ 0 *
line: 53   index: 30   original: =   mutated: ==
line: 53   index: 30   original: =   mutated: !=
line: 53   index: 30   original: =   mutated: <
line: 53   index: 30   original: =   mutated: >
line: 53   index: 30   original: =   mutated: <=
line: 53   index: 30   original: =   mutated: >=
line: 53   index: 30   original: =   mutated: = 0 *
line: 53   index: 30   original: =   mutated: = 0 ;//
line: 53   index: 30   original: =   mutated: = NULL; //
line: 53   index: 30   original: =   mutated: = !
line: 53   index: 26   original: [   mutated: [ -1 +
line: 53   index: 26   original: [   mutated: [ 1 +
line: 53   index: 26   original: [   mutated: [ 0 *
line: 56   index: 9   original: (   mutated: (!
line: 56   index: 0   original: int    mutated: short int 
line: 56   index: 0   original: int    mutated: char 
line: 58   index: 1   original: return   mutated: return 0; //
line: 58   index: 1   original: return   mutated: return 1; //
line: 58   index: 1   original: return   mutated: return NULL; //
line: 58   index: 1   original: return   mutated: return -1; //
line: 58   index: 1   original: return   mutated: return 2*
line: 58   index: 1   original: return   mutated: return -1 *
line: 58   index: 30   original: [   mutated: [ -1 +
line: 58   index: 30   original: [   mutated: [ 1 +
line: 58   index: 30   original: [   mutated: [ 0 *
line: 61   index: 25   original: (   mutated: (!
line: 61   index: 0   original: int    mutated: short int 
line: 61   index: 0   original: int    mutated: char 
line: 63   index: 42   original: +   mutated: -
line: 63   index: 42   original: +   mutated: *
line: 63   index: 42   original: +   mutated: /
line: 63   index: 42   original: +   mutated: %
line: 63   index: 4   original: return   mutated: return 0; //
line: 63   index: 4   original: return   mutated: return 1; //
line: 63   index: 4   original: return   mutated: return NULL; //
line: 63   index: 4   original: return   mutated: return -1; //
line: 63   index: 4   original: return   mutated: return 2*
line: 63   index: 4   original: return   mutated: return -1 *
line: 63   index: 11   original: (   mutated: (!
line: 63   index: 68   original: );   mutated: *0);
line: 63   index: 68   original: );   mutated: *-1);
line: 63   index: 68   original: );   mutated: *2);
line: 63   index: 25   original:  ?    mutated:  && false ? 
line: 63   index: 25   original:  ?    mutated:  || true ? 
line: 66   index: 30   original: (   mutated: (!
line: 72   index: 46   original: >   mutated: !=
line: 72   index: 46   original: >   mutated: <
line: 72   index: 46   original: >   mutated: <=
line: 72   index: 46   original: >   mutated: >=
line: 72   index: 46   original: >   mutated: ==
line: 72   index: 21   original: =   mutated: ==
line: 72   index: 21   original: =   mutated: !=
line: 72   index: 21   original: =   mutated: <
line: 72   index: 21   original: =   mutated: >
line: 72   index: 21   original: =   mutated: <=
line: 72   index: 21   original: =   mutated: >=
line: 72   index: 21   original: =   mutated: = 0 *
line: 72   index: 21   original: =   mutated: = 0 ;//
line: 72   index: 21   original: =   mutated: = NULL; //
line: 72   index: 21   original: =   mutated: = !
line: 72   index: 43   original: (   mutated: (!
line: 73   index: 4   original: if (   mutated: if ( !
line: 73   index: 4   original: if (   mutated: if ( ~
line: 73   index: 4   original: if (   mutated: if ( true ||
line: 73   index: 4   original: if (   mutated: if ( false &&
line: 73   index: 7   original: (   mutated: (!
line: 75   index: 79   original: >   mutated: !=
line: 75   index: 79   original: >   mutated: <
line: 75   index: 79   original: >   mutated: <=
line: 75   index: 79   original: >   mutated: >=
line: 75   index: 79   original: >   mutated: ==
line: 75   index: 79   original: >=   mutated: !=
line: 75   index: 79   original: >=   mutated: <
line: 75   index: 79   original: >=   mutated: <=
line: 75   index: 79   original: >=   mutated: >
line: 75   index: 79   original: >=   mutated: ==
line: 75   index: 8   original: =   mutated: ==
line: 75   index: 80   original: =   mutated: ==
line: 75   index: 8   original: =   mutated: !=
line: 75   index: 80   original: =   mutated: !=
line: 75   index: 8   original: =   mutated: <
line: 75   index: 80   original: =   mutated: <
line: 75   index: 8   original: =   mutated: >
line: 75   index: 80   original: =   mutated: >
line: 75   index: 8   original: =   mutated: <=
line: 75   index: 80   original: =   mutated: <=
line: 75   index: 8   original: =   mutated: >=
line: 75   index: 80   original: =   mutated: >=
line: 75   index: 8   original: =   mutated: = 0 *
line: 75   index: 80   original: =   mutated: = 0 *
line: 75   index: 8   original: =   mutated: = 0 ;//
line: 75   index: 80   original: =   mutated: = 0 ;//
line: 75   index: 8   original: =   mutated: = NULL; //
line: 75   index: 80   original: =   mutated: = NULL; //
line: 75   index: 8   original: =   mutated: = !
line: 75   index: 80   original: =   mutated: = !
line: 75   index: 57   original: &   mutated: |
line: 75   index: 58   original: &   mutated: |
line: 75   index: 57   original: &   mutated: ^
line: 75   index: 58   original: &   mutated: ^
